experiment_id,timestamp_x,run_time,config_id,experiment_tags,simulation_type,num_of_agents,num_iterations,mio,mio_sigma,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp_y,audit_every_x_iterations
ca8c7353-df2c-4550-a5e2-3f1cda18a491,1680931364,42,acbd1c7a-e141-4323-a546-ced2c6a24716,[],REPULSIVE,100,10000,0.2,NULL,40,10,1.462069,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
57b7f6e6-f0da-43dd-921f-d3f1a0f2d910,1680931365,42,34ffe4d9-c1a3-4a21-85d9-37ad9b388274,[],REPULSIVE,100,10000,0.2,NULL,40,10,1.596552,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
e6410059-8cfa-4721-ae60-141d72de7712,1680931365,42,b1897c0b-0ae5-400d-aad1-0fea57081cb7,[],REPULSIVE,100,10000,0.2,NULL,40,10,1.52931,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
d8fd023a-8984-4163-b2a8-7b0aa7e8d7fe,1680931409,38,534fccf2-7647-4fa0-86d2-f8035b2a217c,[],SIMILARITY,100,10000,0.2,NULL,40,10,0.05,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
37ae115d-42c3-422b-99e6-1e8222781be0,1680931410,37,81b7366e-768a-4eda-aa03-3752a6b96c90,[],SIMILARITY,100,10000,0.2,NULL,40,10,0.318966,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
b07c7adc-cb3f-4a8a-aa3c-e34d8670055c,1680931408,39,9c4ea23e-f89d-4798-a707-b1fecb8d9a12,[],REPULSIVE,100,10000,0.2,NULL,40,10,1.663793,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
a6c519e5-49b6-4b94-9190-ca299a6cc529,1680931410,38,6127324c-f4ac-4f85-ae8d-b2431950f758,[],SIMILARITY,100,10000,0.2,NULL,40,10,0.184483,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
cf4adf3b-f8c9-4b3b-9f08-01a770bed9f5,1680931410,38,27c1cbcb-d39b-422e-b524-155b0e7f401e,[],SIMILARITY,100,10000,0.2,NULL,40,10,0.251724,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
6c27d063-9a00-44d4-a31c-69c107d33632,1680931409,38,6c1814ca-f68b-4554-bf74-de4d669057d8,[],SIMILARITY,100,10000,0.2,NULL,40,10,0.117241,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
f8d3014a-e842-4c0a-bbff-b24f602eaaec,1680931410,38,8256c7a5-4367-4dcf-aa57-62aa57176888,[],SIMILARITY,100,10000,0.2,NULL,40,10,0.386207,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
8f56b9e3-3a52-4b55-b90e-5241f5225d80,1680931409,40,6e30eb5d-63aa-4652-88a6-b4ada2978893,[],REPULSIVE,100,10000,0.2,NULL,40,10,1.731034,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680931309055,250.0
