experiment_id,measurement_type,x,value,sample_std
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,1.0,0.9777903481607404,0.0132963260680163
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,249.0,0.9577363357460432,0.0227281428693438
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,499.0,0.9318218820625656,0.0277992794339734
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,749.0,0.90346927613162,0.0386018302157233
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,999.0,0.8713254569187867,0.0437391330825781
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,1249.0,0.8327428317948666,0.0507575964903429
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,1499.0,0.7918606032456392,0.0550639255052111
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,1749.0,0.7553791261051346,0.0667007285648534
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,1999.0,0.7155866013134317,0.0785554109305222
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,2249.0,0.6815604724230925,0.0900450002349517
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,2499.0,0.6526284293812165,0.0960159130721188
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,2749.0,0.629376810347231,0.102490281626817
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,2999.0,0.6119635297859741,0.1045703549501929
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,3249.0,0.5972585685901708,0.1064721944454748
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,3499.0,0.5873192786727274,0.1093292202332452
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,3749.0,0.5810864465186313,0.1106416075647486
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,3999.0,0.5742967000335509,0.1118261141844876
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,4249.0,0.5699271981743722,0.1127458445922211
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,4499.0,0.5673138835475822,0.1126187457702964
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,4749.0,0.5643383030232263,0.1126879148398764
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,4999.0,0.5633354172383735,0.1128908167029671
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,5249.0,0.5616417391973242,0.1121036023619573
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,5499.0,0.5609953163137026,0.1122713006305484
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,5749.0,0.5603987166741431,0.1122688240751872
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,5999.0,0.5597871371324524,0.1120688129623922
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,6249.0,0.5593640458955191,0.1119099490129268
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,6499.0,0.5592148688604507,0.111903824059443
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,6749.0,0.5589360288838402,0.1116959162040812
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,6999.0,0.5586423951141232,0.1113057165426562
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,7249.0,0.5584498946749908,0.1111479132660284
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,7499.0,0.5581583915261012,0.1107575803692197
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,7749.0,0.5579941640424584,0.1105670831177049
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,7999.0,0.5578708419682628,0.1103745189198748
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,8249.0,0.5574329830194702,0.1097174671680749
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,8499.0,0.5573809565362635,0.1096491422655576
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,8749.0,0.5573716620056978,0.1096473573534018
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,8999.0,0.5573630289335405,0.1096437115548894
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,9249.0,0.5573484764070054,0.1096308040240005
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,9499.0,0.5573256613940929,0.1096069185167076
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,9749.0,0.5572478274860666,0.1094815736156062
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,SPREAD,9999.0,0.5572284484238486,0.1094590488676793
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,1.0,0.0823811422599059,0.0085110729868135
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,249.0,0.0787672603042944,0.0085751479442736
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,499.0,0.0751197726984359,0.0087615054903304
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,749.0,0.0717409588554528,0.0090482617200695
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,999.0,0.0686180793277649,0.0093831713604914
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,1249.0,0.0658772061398534,0.0096613399503038
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,1499.0,0.0636121961268768,0.0100063556131178
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,1749.0,0.0615934862909868,0.0105104768637134
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,1999.0,0.0601433682594548,0.0109427160558473
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,2249.0,0.059096117023656,0.0113611467072547
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,2499.0,0.0583631557788835,0.0116419642553102
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,2749.0,0.057856850051986,0.0118461020806239
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,2999.0,0.0575338092589951,0.011973786535012
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,3249.0,0.0573112264328668,0.0120010086899202
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,3499.0,0.0571567167596232,0.0120036364668827
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,3749.0,0.0570829392140894,0.011989302660945
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,3999.0,0.0570095253660152,0.011951420154659
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,4249.0,0.0569700482567727,0.0119308567337007
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,4499.0,0.0569256683224895,0.0119053316005311
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,4749.0,0.0568876978700706,0.011884270660862
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,4999.0,0.0568715687327443,0.0118786816510262
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,5249.0,0.0568602400631337,0.0118766579874026
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,5499.0,0.0568566559689749,0.0118747937050639
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,5749.0,0.0568551954190538,0.0118748262570805
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,5999.0,0.0568542686724157,0.0118744114791795
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,6249.0,0.0568538924992985,0.0118743655183889
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,6499.0,0.0568538154204393,0.0118743784098312
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,6749.0,0.0568535978111979,0.0118744112330604
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,6999.0,0.056853163602954,0.0118745250393019
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,7249.0,0.0568530656259281,0.0118745196517765
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,7499.0,0.0568528482899071,0.0118744423729731
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,7749.0,0.0568524153959509,0.0118741259239686
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,7999.0,0.0568523747384691,0.0118741226331288
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,8249.0,0.0568521214024872,0.0118741445543437
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,8499.0,0.0568520725666869,0.0118741420846732
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,8749.0,0.0568520048589161,0.0118740319500738
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,8999.0,0.0568519992863093,0.0118740249910515
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,9249.0,0.0568519966714936,0.0118740238814812
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,9499.0,0.0568519619023061,0.0118739854224234
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,9749.0,0.0568518728410042,0.0118739844684167
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,DISPERSION,9999.0,0.0568518645528202,0.0118739890055663
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,1.0,1.0,0.0
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,249.0,1.0,0.0
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,499.0,0.9975,0.0158113883008418
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,749.0,0.9825,0.0446496331853884
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,999.0,0.9475,0.064001201911791
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,1249.0,0.8925000000000001,0.0971055465948633
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,1499.0,0.8300000000000001,0.093917585257037
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,1749.0,0.7550000000000001,0.1060962311131279
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,1999.0,0.6725,0.1109111448470443
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,2249.0,0.6300000000000001,0.1244474969100603
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,2499.0,0.5425,0.1393896953848711
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,2749.0,0.4824999999999999,0.1483023591976531
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,2999.0,0.4524999999999999,0.1449801047358939
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,3249.0,0.4075,0.1366025490620742
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,3499.0,0.3575,0.1195879678365764
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,3749.0,0.3299999999999999,0.1181046906296187
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,3999.0,0.305,0.1036512891554646
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,4249.0,0.2925,0.0916724939872705
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,4499.0,0.2875,0.0882522608121828
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,4749.0,0.285,0.0863801971607987
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,4999.0,0.285,0.0892992663707769
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,5249.0,0.2799999999999999,0.0822753351207442
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,5499.0,0.2774999999999999,0.0800240348510755
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,5749.0,0.275,0.0776250025806184
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,5999.0,0.2724999999999999,0.0784055858815932
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,6249.0,0.2674999999999999,0.0729857731131422
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,6499.0,0.2674999999999999,0.0729857731131422
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,6749.0,0.2674999999999999,0.0729857731131422
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,6999.0,0.2674999999999999,0.0729857731131422
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,7249.0,0.265,0.0699816825850586
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,7499.0,0.265,0.0699816825850586
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,7749.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,7999.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,8249.0,0.2625,0.066746746775616
