config_id,simulation_type,num_of_agents,num_iterations,mio,mio_sigma,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
e6a57105-1f0c-4715-b431-b3a1ea2ab3d3,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
8b3de747-5166-4d0f-9083-4b7c46fd1505,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.172414,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
3a19c5a7-ef19-46f6-8c06-2683c1cf934d,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.344828,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
8de01c61-4f40-48d3-877a-e3ca91a9f10d,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.517241,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
845360c4-41fd-4151-afca-8d54ffd6946a,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.689655,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
6afe9644-739f-42cd-a73a-547dc7eb870e,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.862069,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
e7d75ace-0d27-4b7f-a83b-050cc75748a6,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.034483,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
e605626b-682d-485a-a683-a6ffcea6a57a,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.206897,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
06dd4978-9bb6-4e67-a202-ab7daeed4e08,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.37931,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
90127e91-efba-478e-a088-8f7b4742d670,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.551724,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
0a3edaca-7222-4d07-bd2a-df13dfa001c3,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.724138,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1682444225574,250.0
